File Name,Flat Fee,Annual fee threshold 1,Annual fee Threshold 2,Annual fee Threshold 3,Annual fee Threshold 4,Annual fee Threshold 5,Annual fee Threshold 6,Annual fee Threshold 7,Annual fee Threshold 8,Minimum investment (Amount/No),Negotiable (Yes/No),Negotiable threshold (Number/ N/A),Verification Summary,Digit % Count,Dollar Count,Fee Count,Text Length,adviser_id1,adviser_id2,sequence_num,filing_date,Annual fee threshold 1_clean,Annual fee threshold 1_lower_bound,Annual fee threshold 1_upper_bound,Annual fee threshold 1_fee_pct,Annual fee Threshold 2_clean,Annual fee Threshold 2_lower_bound,Annual fee Threshold 2_upper_bound,Annual fee Threshold 2_fee_pct,Annual fee Threshold 3_clean,Annual fee Threshold 3_lower_bound,Annual fee Threshold 3_upper_bound,Annual fee Threshold 3_fee_pct,Annual fee Threshold 4_clean,Annual fee Threshold 4_lower_bound,Annual fee Threshold 4_upper_bound,Annual fee Threshold 4_fee_pct,Annual fee Threshold 5_clean,Annual fee Threshold 5_lower_bound,Annual fee Threshold 5_upper_bound,Annual fee Threshold 5_fee_pct,Annual fee Threshold 6_clean,Annual fee Threshold 6_lower_bound,Annual fee Threshold 6_upper_bound,Annual fee Threshold 6_fee_pct,Annual fee Threshold 7_clean,Annual fee Threshold 7_lower_bound,Annual fee Threshold 7_upper_bound,Annual fee Threshold 7_fee_pct,Annual fee Threshold 8_clean,Annual fee Threshold 8_lower_bound,Annual fee Threshold 8_upper_bound,Annual fee Threshold 8_fee_pct,Negotiable threshold (Number/ N/A)_clean,Negotiable threshold (Number/ N/A)_lower_bound,Negotiable threshold (Number/ N/A)_upper_bound,Negotiable threshold (Number/ N/A)_fee_pct,flat_fee_clean,has_flat_fee,min_investment_clean,has_min_investment,negotiable_clean,negotiable_threshold_clean,fee_structure_type,fee_tier_count,potential_multiple_products,filing_year
formadv_part2_1_extracted\10091_59531_15_20180316_fees_section.txt.txt,No,"$0 - $249,999 (1.00%) [VERIFIED]","$250,000 - $499,999 (0.90%) [VERIFIED]","$500,000 - $999,999 (0.75%) [VERIFIED]","$1,000,000 - $10,000,000 (0.60%) [VERIFIED]",,,,,No,Yes,No,"2,3,4,5",4,10,37,3984,10091,59531,15,2018-03-16,$0 - $249999 (1.00%),0.0,249999.0,1.0,$250000 - $499999 (0.90%),250000.0,499999.0,0.9,$500000 - $999999 (0.75%),500000.0,999999.0,0.75,$1000000 - $10000000 (0.60%),1000000.0,10000000.0,0.6,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,Tiered,4,False,2018
formadv_part2_1_extracted\100_110665_1_20140306_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,"$10,000,000 [VERIFIED]","2,3,4,10,12",6,8,39,6136,100,110665,1,2014-03-06,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,10000000.0,Tiered,1,False,2014
formadv_part2_1_extracted\100_143018_1_20150330_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,"$10,000,000 [VERIFIED]","2,3,4,10,12",6,7,38,6049,100,143018,1,2015-03-30,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,10000000.0,Tiered,1,False,2015
formadv_part2_1_extracted\100_244077_1_20150902_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,"$10,000,000 [VERIFIED]","2,3,4,10,12",6,7,39,6110,100,244077,1,2015-09-02,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,10000000.0,Tiered,1,False,2015
formadv_part2_1_extracted\100_250921_1_20160307_fees_section.txt.txt,No,"$0 - $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,No,Yes,"$10,000,000 [VERIFIED]","2,3,4,12",6,5,57,12582,100,250921,1,2016-03-07,$0 - $500000 (1.95%),0.0,500000.0,1.95,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,10000000.0,Tiered,2,False,2016
formadv_part2_1_extracted\100_250921_2_20160916_fees_section.txt.txt,No,"$0 - $500,000 (1.95%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001+ (1.55%) [VERIFIED]",,,,,,No,Yes,"$10,000,000 [VERIFIED]","2,3,4,12",6,5,57,12582,100,250921,2,2016-09-16,$0 - $500000 (1.95%),0.0,500000.0,1.95,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,10000000.0,Tiered,2,False,2016
formadv_part2_1_extracted\100_275313_2_20180327_fees_section.txt.txt,No fee information available.,,,,,,,,,-1,-1,,-1,0,0,0,0,100,275313,2,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,,No Fee Info,0,False,2018
formadv_part2_1_extracted\100_275314_2_20180327_fees_section.txt.txt,"""No fee information available.""",,,,,,,,,-1,-1,,-1,0,0,5,1818,100,275314,2,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,,No Fee Info,0,False,2018
formadv_part2_1_extracted\100_31189_1_20110112_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,10",6,7,31,4725,100,31189,1,2011-01-12,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,,Tiered,1,False,2011
formadv_part2_1_extracted\100_67608_1_20120124_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,10",6,7,33,5253,100,67608,1,2012-01-24,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,,Tiered,1,False,2012
formadv_part2_1_extracted\100_90526_1_20130130_fees_section.txt.txt,No,"< $500,000 (1.95%) [VERIFIED]","$500,000 - $1,000,000 (1.75%) [VERIFIED]","$1,000,000+ (1.55%) [VERIFIED]",,,,,,"$100,000 [VERIFIED]",Yes,No,"2,3,4,10",6,8,36,5539,100,90526,1,2013-01-30,,,,,$500000 - $1000000 (1.75%),500000.0,1000000.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,100000.0,True,True,,Tiered,1,False,2013
formadv_part2_1_extracted\10105_63116_1_20110926_fees_section.txt.txt,No,,,,,,,,"$0 - $18,000 (3.0%) [VERIFIED]",No,Yes,No,9,4,2,49,9450,10105,63116,1,2011-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 - $18000 (3.0%),0.0,18000.0,3.0,,,,,,False,,False,True,,Tiered,1,False,2011
formadv_part2_1_extracted\10105_63116_2_20120413_fees_section.txt.txt,No,,,,,,,,"$0 - $18,000 (3.0%) [VERIFIED]",No,Yes,No,9,4,2,49,9438,10105,63116,2,2012-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0 - $18000 (3.0%),0.0,18000.0,3.0,,,,,,False,,False,True,,Tiered,1,False,2012
formadv_part2_1_extracted\10105_63116_3_20120828_fees_section.txt.txt,No,,,,,,,,$0+ (3.0%) [VERIFIED],No,Yes,No,9,4,2,49,9441,10105,63116,3,2012-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,Unknown,0,False,2012
formadv_part2_1_extracted\101080_52019_10_20130620_fees_section.txt.txt,No,"$0 - $500,000 (2.00%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001 - $1,500,000 (1.50%) [VERIFIED]","$1,500,001+ (1.25%) [VERIFIED]","$0 - $9,999,999 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]",,N/a,Yes,No,"2,3,4,5,6,7,8",10,20,82,17610,101080,52019,10,2013-06-20,$0 - $500000 (2.00%),0.0,500000.0,2.0,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,$1000001 - $1500000 (1.50%),1000001.0,1500000.0,1.5,,,,,$0 - $9999999 (0.20%),0.0,9999999.0,0.2,$10000000 - $19999999 (0.15%),10000000.0,19999999.0,0.15,,,,,,,,,,,,,,False,,False,True,,Tiered,5,False,2013
formadv_part2_1_extracted\101080_52019_11_20131111_fees_section.txt.txt,No,"$0 - $500,000 (2.00%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001 - $1,500,000 (1.50%) [VERIFIED]","$1,500,001+ (1.25%) [VERIFIED]","$0 - $9,999,999 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]",,N/a,Yes,No,"2,3,4,5,6,7,8",14,20,84,19339,101080,52019,11,2013-11-11,$0 - $500000 (2.00%),0.0,500000.0,2.0,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,$1000001 - $1500000 (1.50%),1000001.0,1500000.0,1.5,,,,,$0 - $9999999 (0.20%),0.0,9999999.0,0.2,$10000000 - $19999999 (0.15%),10000000.0,19999999.0,0.15,,,,,,,,,,,,,,False,,False,True,,Tiered,5,False,2013
formadv_part2_1_extracted\101080_52019_12_20140102_fees_section.txt.txt,No,"$0 - $500,000 (2.00%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001 - $1,500,000 (1.50%) [VERIFIED]","$1,500,001+ (1.25%) [VERIFIED]","$0 - $3,000,000 (1.00%) [VERIFIED]","$3,000,001 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.40%) [VERIFIED]","$0 - $9,999,999 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]",No,"2,3,4,5,6,7,8,9,10,11",17,25,85,19574,101080,52019,12,2014-01-02,$0 - $500000 (2.00%),0.0,500000.0,2.0,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,$1000001 - $1500000 (1.50%),1000001.0,1500000.0,1.5,,,,,$0 - $3000000 (1.00%),0.0,3000000.0,1.0,$3000001 - $10000000 (0.60%),3000001.0,10000000.0,0.6,,,,,$0 - $9999999 (0.20%),0.0,9999999.0,0.2,,,,,,False,10000000.0,True,False,,Tiered,6,False,2014
formadv_part2_1_extracted\101080_52019_13_20140501_fees_section.txt.txt,No,"$0 - $500,000 (2.00%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001 - $1,500,000 (1.50%) [VERIFIED]","$1,500,001+ (1.25%) [VERIFIED]","$0 - $3,000,000 (1.00%) [VERIFIED]","$3,000,001 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.40%) [VERIFIED]","$0 - $9,999,999 (0.20%) [VERIFIED]",No,Yes,No,"2,3,4,5,6,7,8,9",17,25,85,19562,101080,52019,13,2014-05-01,$0 - $500000 (2.00%),0.0,500000.0,2.0,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,$1000001 - $1500000 (1.50%),1000001.0,1500000.0,1.5,,,,,$0 - $3000000 (1.00%),0.0,3000000.0,1.0,$3000001 - $10000000 (0.60%),3000001.0,10000000.0,0.6,,,,,$0 - $9999999 (0.20%),0.0,9999999.0,0.2,,,,,,False,,False,True,,Tiered,6,False,2014
formadv_part2_1_extracted\101080_52019_14_20140722_fees_section.txt.txt,No,"$0 - $500,000 (2.00%) [VERIFIED]","$500,001 - $1,000,000 (1.75%) [VERIFIED]","$1,000,001 - $1,500,000 (1.50%) [VERIFIED]","$1,500,001+ (1.25%) [VERIFIED]","$0 - $3,000,000 (1.00%) [VERIFIED]","$3,000,001 - $10,000,000 (0.60%) [VERIFIED]","$10,000,001+ (0.40%) [VERIFIED]","$0 - $9,999,999 (0.20%) [VERIFIED]",No,Yes,No,"2,3,4,5,6,7,8,9",17,25,85,19595,101080,52019,14,2014-07-22,$0 - $500000 (2.00%),0.0,500000.0,2.0,$500001 - $1000000 (1.75%),500001.0,1000000.0,1.75,$1000001 - $1500000 (1.50%),1000001.0,1500000.0,1.5,,,,,$0 - $3000000 (1.00%),0.0,3000000.0,1.0,$3000001 - $10000000 (0.60%),3000001.0,10000000.0,0.6,,,,,$0 - $9999999 (0.20%),0.0,9999999.0,0.2,,,,,,False,,False,True,,Tiered,6,False,2014
formadv_part2_1_extracted\101080_52019_15_20141103_fees_section.txt.txt,No,"$0 - $9,999,999.99 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]","$0 - $999,999.99 (2.00%) [VERIFIED]","$1,000,000 - $4,999,999.99 (1.75%) [VERIFIED]","$5,000,000 - $9,999,999.99 (1.50%) [VERIFIED]","$10,000,000+ (1.25%) [VERIFIED]","$0 - $2,999,999.99 (1.00%) [VERIFIED]",No,Yes,No,"2,3,4,5,6,7,8,9",17,25,85,19657,101080,52019,15,2014-11-03,$0 - $9999999.99 (0.20%),0.0,9999999.99,0.2,$10000000 - $19999999.99 (0.15%),10000000.0,19999999.99,0.15,,,,,$0 - $999999.99 (2.00%),0.0,999999.99,2.0,$1000000 - $4999999.99 (1.75%),1000000.0,4999999.99,1.75,$5000000 - $9999999.99 (1.50%),5000000.0,9999999.99,1.5,,,,,$0 - $2999999.99 (1.00%),0.0,2999999.99,1.0,,,,,,False,,False,True,,Tiered,6,False,2014
formadv_part2_1_extracted\101080_52019_16_20150102_fees_section.txt.txt,No,"$0 - $999,999.99 (2.00%) [VERIFIED]","$1,000,000 - $4,999,999.99 (1.75%) [VERIFIED]","$5,000,000 - $9,999,999.99 (1.50%) [VERIFIED]","$10,000,000+ (1.25%) [VERIFIED]","$0 - $9,999,999.99 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]","$0 - $2,999,999.99 (1.00%) [VERIFIED]","$3,000,000 - $9,999,999.99 (0.60%) [VERIFIED]","$10,000,000+ (0.40%) [VERIFIED]",No,"2,3,4,5,6,7,8,9,10,11",17,25,85,19639,101080,52019,16,2015-01-02,$0 - $999999.99 (2.00%),0.0,999999.99,2.0,$1000000 - $4999999.99 (1.75%),1000000.0,4999999.99,1.75,$5000000 - $9999999.99 (1.50%),5000000.0,9999999.99,1.5,,,,,$0 - $9999999.99 (0.20%),0.0,9999999.99,0.2,$10000000 - $19999999.99 (0.15%),10000000.0,19999999.99,0.15,,,,,$0 - $2999999.99 (1.00%),0.0,2999999.99,1.0,,,,,,False,3000000.0,True,False,,Tiered,6,False,2015
formadv_part2_1_extracted\101080_52019_17_20150402_fees_section.txt.txt,No,"$0 - $999,999.99 (2.00%) [VERIFIED]","$1,000,000 - $4,999,999.99 (1.75%) [VERIFIED]","$5,000,000 - $9,999,999.99 (1.50%) [VERIFIED]","$10,000,000+ (1.25%) [VERIFIED]","$0 - $9,999,999.99 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]","$0 - $2,999,999.99 (1.00%) [VERIFIED]",No,Yes,No,"2,3,4,5,6,7,8,9",17,26,90,21885,101080,52019,17,2015-04-02,$0 - $999999.99 (2.00%),0.0,999999.99,2.0,$1000000 - $4999999.99 (1.75%),1000000.0,4999999.99,1.75,$5000000 - $9999999.99 (1.50%),5000000.0,9999999.99,1.5,,,,,$0 - $9999999.99 (0.20%),0.0,9999999.99,0.2,$10000000 - $19999999.99 (0.15%),10000000.0,19999999.99,0.15,,,,,$0 - $2999999.99 (1.00%),0.0,2999999.99,1.0,,,,,,False,,False,True,,Tiered,6,False,2015
formadv_part2_1_extracted\101080_52019_18_20160722_fees_section.txt.txt,No,"$0 - $999,999.99 (2.00%) [VERIFIED]","$1,000,000 - $4,999,999.99 (1.75%) [VERIFIED]","$5,000,000 - $9,999,999.99 (1.50%) [VERIFIED]","$10,000,000+ (1.25%) [VERIFIED]","$0 - $9,999,999.99 (0.20%) [VERIFIED]","$10,000,000 - $19,999,999.99 (0.15%) [VERIFIED]","$20,000,000+ (0.10%) [VERIFIED]","$0 - $2,999,999.99 (1.00%) [VERIFIED]",N/a,Yes,No,"2,3,4,5,6,7,8,9",18,26,95,23110,101080,52019,18,2016-07-22,$0 - $999999.99 (2.00%),0.0,999999.99,2.0,$1000000 - $4999999.99 (1.75%),1000000.0,4999999.99,1.75,$5000000 - $9999999.99 (1.50%),5000000.0,9999999.99,1.5,,,,,$0 - $9999999.99 (0.20%),0.0,9999999.99,0.2,$10000000 - $19999999.99 (0.15%),10000000.0,19999999.99,0.15,,,,,$0 - $2999999.99 (1.00%),0.0,2999999.99,1.0,,,,,,False,,False,True,,Tiered,6,False,2016
